Time_sec,Temperature_degC
47.15,18.58
47.2,18.58
47.25,18.58
47.3,18.58
47.35,18.58
47.4,18.58
47.45,18.58
47.5,18.58
47.55,18.58
47.6,18.58
47.65,18.58
47.7,19.07
47.75,18.58
47.8,19.07
47.85,18.58
47.9,18.58
47.95,18.58
48,18.58
48.05,19.07
48.1,18.58
48.15,18.58
48.2,18.58
48.25,18.58
48.3,18.58
48.35,19.07
48.4,18.58
48.45,18.58
48.5,19.07
48.55,19.07
48.6,18.58
48.65,19.07
48.7,19.07
48.75,19.07
48.8,18.58
48.85,19.07
48.9,18.58
48.95,18.58
49,19.07
49.05,19.07
49.1,18.58
49.15,19.07
49.2,19.07
49.25,19.07
49.3,19.07
49.35,18.58
49.4,18.58
49.451,19.07
49.5,18.58
49.55,18.58
49.6,18.58
49.65,18.58
49.7,18.58
49.75,18.58
49.8,18.58
49.85,18.58
49.9,18.58
49.95,19.07
50,19.07
50.05,18.58
50.1,18.58
50.15,18.58
50.2,18.58
50.25,19.07
50.3,19.07
50.35,18.58
50.4,18.58
50.45,18.58
50.5,19.07
50.55,19.07
50.6,19.07
50.65,19.07
50.7,19.07
50.75,18.58
50.8,18.58
50.85,18.58
50.9,19.07
50.95,18.58
51,18.58
51.05,18.58
51.1,18.58
51.15,18.58
51.2,18.58
51.25,18.58
51.3,18.58
51.35,19.07
51.4,18.58
51.45,18.58
51.5,18.58
51.55,18.58
51.6,18.58
51.65,18.58
51.7,18.58
51.75,18.58
51.8,18.58
51.85,18.58
51.9,18.58
51.95,18.58
52,18.58
52.05,18.58
52.1,18.58
52.15,18.58
52.2,18.58
52.25,18.58
52.3,18.58
52.35,18.58
52.4,18.58
52.45,18.58
52.5,18.58
52.55,18.58
52.6,18.58
52.651,18.58
52.7,18.58
52.75,18.58
52.8,18.58
52.85,18.58
52.9,18.58
52.95,18.58
53,18.58
53.05,18.58
53.1,18.58
53.15,18.58
53.2,18.58
53.25,18.58
53.3,18.58
53.35,18.58
53.4,18.58
53.45,18.58
53.5,18.58
53.55,18.58
53.6,18.58
53.65,18.58
53.7,18.58
53.75,18.58
53.8,18.58
53.85,18.58
53.9,18.58
53.95,18.58
54,18.58
54.05,18.58
54.1,18.58
54.15,18.58
54.2,18.58
54.25,18.58
54.3,18.58
54.35,18.58
54.4,18.58
54.45,18.58
54.5,18.58
54.55,19.07
54.6,18.58
54.65,18.58
54.7,18.58
54.75,18.58
54.8,18.58
54.85,18.58
54.9,18.58
54.95,18.58
55,18.58
55.05,18.58
55.1,18.58
55.15,18.58
55.2,18.58
55.25,18.58
55.3,18.58
55.35,18.58
55.4,18.58
55.45,18.58
55.5,18.58
55.55,18.58
55.6,18.58
55.65,19.07
55.7,18.58
55.75,18.58
55.8,18.58
55.851,18.58
55.9,18.58
55.95,18.58
56,18.58
56.05,18.58
56.1,18.58
56.15,18.58
56.2,18.58
56.25,18.58
56.3,18.58
56.35,18.58
56.4,18.58
56.45,18.58
56.5,18.58
56.55,18.58
56.6,18.58
56.65,18.58
56.7,18.58
56.75,18.58
56.8,18.58
56.85,18.58
56.9,18.58
56.95,18.58
57,18.58
57.05,18.58
57.1,18.58
57.15,18.58
57.2,18.58
57.25,18.58
57.3,18.58
57.35,18.58
57.4,18.58
57.45,18.58
57.5,18.58
57.55,18.58
57.6,18.58
57.65,18.58
57.7,18.58
57.75,18.58
57.8,18.58
57.85,18.58
57.9,18.58
57.95,19.07
58,19.07
58.05,18.58
58.1,18.58
58.15,18.58
58.2,18.58
58.25,18.58
58.3,18.58
58.35,18.58
58.4,18.58
58.45,18.58
58.5,19.07
58.55,18.58
58.6,18.58
58.65,19.07
58.7,18.58
58.75,18.58
58.8,18.58
58.85,18.58
58.9,18.58
58.95,18.58
59,18.58
59.051,18.58
59.1,18.58
59.15,18.58
59.2,18.58
59.25,18.58
59.3,18.58
59.35,18.58
59.4,18.58
59.45,18.58
59.5,18.58
59.55,18.58
59.6,18.58
59.65,18.58
59.7,18.58
59.75,18.58
59.8,18.58
59.85,18.58
59.9,18.58
59.95,18.58
60,18.58
60.05,18.58
60.1,18.58
60.15,18.58
60.2,18.58
60.25,18.58
60.3,18.58
60.35,18.58
60.4,18.58
60.45,18.58
60.5,18.58
60.55,18.58
60.6,18.58
60.65,18.58
60.7,18.58
60.75,18.58
60.8,18.58
60.85,18.58
60.9,18.58
60.95,18.58
61,18.58
61.05,18.58
61.1,18.58
61.15,18.58
61.2,18.58
61.25,18.58
61.3,18.58
61.35,18.58
61.4,18.58
61.45,18.58
61.5,19.07
61.55,18.58
61.6,18.58
61.65,18.58
61.7,18.58
61.75,18.58
61.8,18.58
61.85,18.58
61.9,18.58
61.95,18.58
62,18.58
62.05,18.58
62.1,18.58
62.15,19.07
62.2,18.58
62.251,18.58
62.3,18.58
62.35,18.58
62.4,18.58
62.45,18.58
62.5,18.58
62.55,18.58
62.6,18.58
62.65,18.58
62.7,18.58
62.75,18.58
62.8,18.58
62.85,18.58
62.9,18.58
62.95,18.58
63,18.58
63.05,18.58
63.1,18.58
63.15,18.58
63.2,18.58
63.25,18.58
63.3,18.58
63.35,18.58
63.4,18.58
63.45,18.58
63.5,18.58
63.55,18.58
63.6,18.58
63.65,19.07
63.7,18.58
63.75,18.58
63.8,18.58
63.85,18.58
63.9,18.58
63.95,18.58
64,18.58
64.05,19.07
