alt,temp R,presure lb/ft^2,density slug/ft^3,,
305,517.60037,2092.969271,0.002355747154,,
306,517.596804,2092.893446,0.002355678039,,
307,517.593238,2092.817623,0.002355608924,,
308,517.589672,2092.741803,0.002355539812,,
309,517.586106,2092.665984,0.002355470701,,
310,517.58254,2092.590168,0.002355401591,,
311,517.578974,2092.514354,0.002355332483,,
312,517.575408,2092.438542,0.002355263376,,
313,517.571842,2092.362732,0.002355194271,,
314,517.568276,2092.286925,0.002355125168,,
315,517.56471,2092.21112,0.002355056066,,
316,517.561144,2092.135317,0.002354986966,,
317,517.557578,2092.059516,0.002354917867,,
318,517.554012,2091.983718,0.00235484877,,
319,517.550446,2091.907921,0.002354779674,,
320,517.54688,2091.832127,0.00235471058,,
321,517.543314,2091.756336,0.002354641488,,
322,517.539748,2091.680546,0.002354572397,,
323,517.536182,2091.604759,0.002354503307,,
324,517.532616,2091.528974,0.002354434219,,
325,517.52905,2091.453191,0.002354365133,,
326,517.525484,2091.37741,0.002354296048,,
327,517.521918,2091.301631,0.002354226965,,
328,517.518352,2091.225855,0.002354157883,,
329,517.514786,2091.150081,0.002354088803,,
330,517.51122,2091.074309,0.002354019725,,
331,517.507654,2090.99854,0.002353950648,,
332,517.504088,2090.922773,0.002353881572,,
333,517.500522,2090.847007,0.002353812498,,
334,517.496956,2090.771245,0.002353743426,,
335,517.49339,2090.695484,0.002353674355,,
336,517.489824,2090.619725,0.002353605286,,
337,517.486258,2090.543969,0.002353536218,,
338,517.482692,2090.468215,0.002353467152,,
339,517.479126,2090.392463,0.002353398087,,
340,517.47556,2090.316714,0.002353329024,,
341,517.471994,2090.240966,0.002353259963,,
342,517.468428,2090.165221,0.002353190903,,
343,517.464862,2090.089478,0.002353121844,,
344,517.461296,2090.013738,0.002353052787,,
345,517.45773,2089.937999,0.002352983732,,
346,517.454164,2089.862263,0.002352914678,,
347,517.450598,2089.786529,0.002352845626,,
348,517.447032,2089.710797,0.002352776575,,
349,517.443466,2089.635068,0.002352707526,,
350,517.4399,2089.559341,0.002352638479,,
351,517.436334,2089.483615,0.002352569433,,
352,517.432768,2089.407893,0.002352500388,,
353,517.429202,2089.332172,0.002352431345,,
354,517.425636,2089.256453,0.002352362304,,
355,517.42207,2089.180737,0.002352293264,,
356,517.418504,2089.105023,0.002352224226,,
357,517.414938,2089.029311,0.002352155189,,
358,517.411372,2088.953602,0.002352086154,,
359,517.407806,2088.877895,0.00235201712,,
360,517.40424,2088.802189,0.002351948088,,
361,517.400674,2088.726487,0.002351879058,,
362,517.397108,2088.650786,0.002351810029,,
363,517.393542,2088.575087,0.002351741002,,
364,517.389976,2088.499391,0.002351671976,,
365,517.38641,2088.423697,0.002351602951,,
366,517.382844,2088.348005,0.002351533929,,
367,517.379278,2088.272316,0.002351464907,,
368,517.375712,2088.196629,0.002351395888,,
369,517.372146,2088.120943,0.00235132687,,
370,517.36858,2088.045261,0.002351257853,,
371,517.365014,2087.96958,0.002351188838,,
372,517.361448,2087.893901,0.002351119825,,
373,517.357882,2087.818225,0.002351050813,,
374,517.354316,2087.742551,0.002350981802,,
375,517.35075,2087.666879,0.002350912794,,
376,517.347184,2087.59121,0.002350843786,,
377,517.343618,2087.515543,0.002350774781,,
378,517.340052,2087.439877,0.002350705776,,
379,517.336486,2087.364215,0.002350636774,,
380,517.33292,2087.288554,0.002350567773,,
381,517.329354,2087.212895,0.002350498773,,
382,517.325788,2087.137239,0.002350429775,,
383,517.322222,2087.061585,0.002350360779,,
384,517.318656,2086.985933,0.002350291784,,
385,517.31509,2086.910284,0.002350222791,,
386,517.311524,2086.834636,0.002350153799,,
387,517.307958,2086.758991,0.002350084809,,
388,517.304392,2086.683348,0.00235001582,,
389,517.300826,2086.607708,0.002349946833,,
390,517.29726,2086.532069,0.002349877848,,
391,517.293694,2086.456433,0.002349808864,,
392,517.290128,2086.380799,0.002349739881,,
393,517.286562,2086.305167,0.0023496709,,
394,517.282996,2086.229538,0.002349601921,,
395,517.27943,2086.15391,0.002349532943,,
396,517.275864,2086.078285,0.002349463967,,
397,517.272298,2086.002662,0.002349394992,,
398,517.268732,2085.927041,0.002349326019,,
399,517.265166,2085.851423,0.002349257047,,
400,517.2616,2085.775807,0.002349188077,,
401,517.258034,2085.700193,0.002349119109,,
402,517.254468,2085.624581,0.002349050142,,
403,517.250902,2085.548971,0.002348981176,,
404,517.247336,2085.473364,0.002348912212,,
405,517.24377,2085.397759,0.00234884325,,
406,517.240204,2085.322156,0.002348774289,,
407,517.236638,2085.246555,0.00234870533,,
408,517.233072,2085.170956,0.002348636372,,
409,517.229506,2085.09536,0.002348567416,,
410,517.22594,2085.019766,0.002348498462,,
411,517.222374,2084.944174,0.002348429509,,
412,517.218808,2084.868585,0.002348360557,,
413,517.215242,2084.792997,0.002348291607,,
414,517.211676,2084.717412,0.002348222659,,
415,517.20811,2084.641829,0.002348153712,,
416,517.204544,2084.566248,0.002348084767,,
417,517.200978,2084.49067,0.002348015823,,
418,517.197412,2084.415093,0.002347946881,,
419,517.193846,2084.339519,0.00234787794,,
420,517.19028,2084.263947,0.002347809001,,
421,517.186714,2084.188378,0.002347740064,,
422,517.183148,2084.11281,0.002347671128,,
423,517.179582,2084.037245,0.002347602193,,
424,517.176016,2083.961682,0.00234753326,,
425,517.17245,2083.886121,0.002347464329,,
426,517.168884,2083.810563,0.002347395399,,
427,517.165318,2083.735006,0.002347326471,,
428,517.161752,2083.659452,0.002347257544,,
429,517.158186,2083.5839,0.002347188619,,
430,517.15462,2083.508351,0.002347119696,,
431,517.151054,2083.432803,0.002347050774,,
432,517.147488,2083.357258,0.002346981853,,
433,517.143922,2083.281715,0.002346912934,,
434,517.140356,2083.206174,0.002346844017,,
435,517.13679,2083.130635,0.002346775101,,
436,517.133224,2083.055099,0.002346706187,,
437,517.129658,2082.979565,0.002346637274,,
438,517.126092,2082.904033,0.002346568363,,
439,517.122526,2082.828503,0.002346499453,,
440,517.11896,2082.752976,0.002346430545,,
441,517.115394,2082.67745,0.002346361638,,
442,517.111828,2082.601927,0.002346292733,,
443,517.108262,2082.526407,0.00234622383,,
444,517.104696,2082.450888,0.002346154928,,
445,517.10113,2082.375371,0.002346086028,,
446,517.097564,2082.299857,0.002346017129,,
447,517.093998,2082.224345,0.002345948232,,
448,517.090432,2082.148836,0.002345879336,,
449,517.086866,2082.073328,0.002345810442,,
450,517.0833,2081.997823,0.002345741549,,
451,517.079734,2081.92232,0.002345672658,,
452,517.076168,2081.846819,0.002345603768,,
453,517.072602,2081.77132,0.00234553488,,
454,517.069036,2081.695824,0.002345465994,,
455,517.06547,2081.620329,0.002345397109,,
456,517.061904,2081.544837,0.002345328226,,
457,517.058338,2081.469347,0.002345259344,,
458,517.054772,2081.39386,0.002345190464,,
459,517.051206,2081.318374,0.002345121585,,
460,517.04764,2081.242891,0.002345052708,,
461,517.044074,2081.16741,0.002344983832,,
462,517.040508,2081.091932,0.002344914958,,
463,517.036942,2081.016455,0.002344846086,,
464,517.033376,2080.940981,0.002344777215,,
465,517.02981,2080.865509,0.002344708345,,
466,517.026244,2080.790039,0.002344639478,,
467,517.022678,2080.714571,0.002344570611,,
468,517.019112,2080.639106,0.002344501747,,
469,517.015546,2080.563643,0.002344432883,,
470,517.01198,2080.488182,0.002344364022,,
471,517.008414,2080.412723,0.002344295162,,
472,517.004848,2080.337266,0.002344226303,,
473,517.001282,2080.261812,0.002344157446,,
474,516.997716,2080.18636,0.00234408859,,
475,516.99415,2080.11091,0.002344019737,,
476,516.990584,2080.035462,0.002343950884,,
477,516.987018,2079.960017,0.002343882033,,
